chr	coordinate	ORF
chrIV	976377	YDR260C
chrIV	977407	YDR261C
chrIV	994093	YDR263C
chrIV	994148	YDR262W
chrIV	995832	YDR264C
chrIV	999964	YDR266C
chrIV	1000064	YDR265W
chrIV	1002305	YDR267C
chrIV	1005256	YDR268W
chrIV	1009004	YDR270W
chrIV	1009887	YDR272W
chrIV	1011375	YDR273W
chrIV	1013253	YDR275W
chrIV	1013260	YDR276C
chrIV	1014210	YDR277C
chrIV	1020455	YDR279W
chrIV	1021768	YDR280W
chrIV	1021840	YDR281C
chrIV	1023311	YDR282C
chrIV	1024879	YDR283C
chrIV	1030463	YDR284C
chrIV	1035139	YDR286C
chrIV	1035216	YDR285W
chrIV	1037229	YDR287W
chrIV	1038073	YDR289C
chrIV	1038265	YDR288W
chrIV	1043009	YDR291W
chrIV	1043067	YDR292C
chrIV	1045319	YDR293C
chrIV	1050408	YDR294C
chrIV	1052542	YDR295C
chrIV	1055979	YDR296W
chrIV	1057770	YDR297W
chrIV	1057999	YDR298C
chrIV	1061322	YDR299W
chrIV	1061395	YDR300C
chrIV	1067559	YDR301W
chrIV	1068463	YDR302W
chrIV	1068614	YDR303C
chrIV	1071806	YDR304C
chrIV	1072681	YDR305C
chrIV	1073716	YDR306C
chrIV	1077860	YDR307W
chrIV	1077919	YDR308C
chrIV	1078684	YDR309C
chrIV	1080940	YDR310C
chrIV	1087095	YDR311W
chrIV	1089041	YDR313C
chrIV	1089124	YDR312W
chrIV	1090168	YDR314C
chrIV	1092668	YDR315C
chrIV	1095257	YDR316W
chrIV	1103514	YDR317W
chrIV	1104929	YDR319C
chrIV	1105057	YDR318W
chrIV	1106007	YDR320C
chrIV	1108201	YDR320C-A
chrIV	1109998	YDR321W
chrIV	1111786	YDR322W
chrIV	1111797	YDR322C-A
chrIV	1112299	YDR323C
chrIV	1114253	YDR324C
chrIV	1120297	YDR325W
chrIV	1120465	YDR326C
chrIV	1125232	YDR328C
chrIV	1126205	YDR329C
chrIV	1129566	YDR330W
chrIV	1130894	YDR331W
chrIV	1133037	YDR333C
chrIV	1133143	YDR332W
chrIV	1140592	YDR334W
chrIV	1144932	YDR335W
chrIV	1146130	YDR336W
chrIV	1147245	YDR337W
chrIV	1147255	YDR338C
chrIV	1149872	YDR339C
chrIV	1151639	YDR341C
chrIV	1154081	YDR342C
chrIV	1159464	YDR343C
chrIV	1162813	YDR345C
chrIV	1166938	YDR346C
chrIV	1170146	YDR348C
chrIV	1170260	YDR347W
chrIV	1172217	YDR349C
chrIV	1176032	YDR350C
chrIV	1181409	YDR351W
chrIV	1182983	YDR352W
chrIV	1184337	YDR353W
chrIV	1185958	YDR354W
chrIV	1189150	YDR357C
chrIV	1189268	YDR356W
chrIV	1191753	YDR359C
chrIV	1191893	YDR358W
chrIV	1195161	YDR361C
chrIV	1196628	YDR362C
chrIV	1200721	YDR363W
chrIV	1202569	YDR364C
chrIV	1202650	YDR363W-A
chrIV	1204410	YDR365C
chrIV	1212244	YDR366C
chrIV	1213675	YDR367W
chrIV	1214910	YDR369C
chrIV	1215004	YDR368W
chrIV	1217728	YDR370C
chrIV	1220967	YDR372C
chrIV	1221056	YDR371W
chrIV	1223368	YDR374C
chrIV	1223457	YDR373W
chrIV	1225094	YDR375C
chrIV	1225271	YDR374W-A
chrIV	1228371	YDR376W
chrIV	1229185	YDR378C
chrIV	1229189	YDR377W
chrIV	1233144	YDR379C-A
chrIV	1233279	YDR379W
chrIV	1236250	YDR380W
chrIV	1238196	YDR381W
chrIV	1238203	YDR381C-A
chrIV	1239898	YDR383C
chrIV	1239969	YDR382W
chrIV	1241043	YDR384C
chrIV	1245910	YDR385W
chrIV	1248018	YDR387C
chrIV	1248091	YDR386W
chrIV	1251755	YDR388W
chrIV	1254756	YDR389W
chrIV	1254852	YDR390C
chrIV	1257300	YDR391C
chrIV	1259839	YDR392W
chrIV	1261437	YDR393W
chrIV	1263062	YDR394W
chrIV	1266195	YDR397C
chrIV	1266251	YDR395W
chrIV	1269508	YDR398W
chrIV	1270846	YDR399W
chrIV	1272191	YDR402C
chrIV	1272254	YDR400W
chrIV	1276442	YDR403W
chrIV	1276506	YDR404C
chrIV	1278578	YDR405W
chrIV	1283913	YDR406W
chrIV	1284000	YDR407C
chrIV	1288045	YDR408C
chrIV	1292300	YDR410C
chrIV	1292452	YDR409W
chrIV	1293305	YDR411C
chrIV	1295440	YDR414C
chrIV	1295551	YDR412W
chrIV	1296947	YDR415C
chrIV	1301043	YDR416W
chrIV	1302214	YDR418W
chrIV	1305429	YDR419W
chrIV	1311862	YDR420W
chrIV	1315162	YDR421W
chrIV	1315270	YDR422C
chrIV	1317977	YDR423C
chrIV	1319344	YDR424C
chrIV	1323347	YDR428C
chrIV	1323468	YDR427W
chrIV	1324352	YDR429C
chrIV	1325450	YDR430C
chrIV	1330135	YDR432W
chrIV	1332857	YDR435C
chrIV	1332956	YDR434W
chrIV	1337115	YDR436W
chrIV	1339486	YDR438W
chrIV	1340910	YDR439W
chrIV	1344328	YDR440W
chrIV	1344352	YDR441C
chrIV	1345342	YDR443C
chrIV	1352402	YDR444W
chrIV	1354711	YDR447C
chrIV	1357522	YDR449C
chrIV	1357598	YDR448W
chrIV	1360908	YDR451C
chrIV	1360915	YDR450W
chrIV	1364988	YDR453C
chrIV	1365090	YDR452W
chrIV	1366161	YDR454C
chrIV	1369492	YDR456W
chrIV	1379652	YDR457W
chrIV	1379881	YDR458C
chrIV	1382152	YDR459C
chrIV	1384877	YDR460W
chrIV	1385387	YDR461C-A
chrIV	1385432	YDR461W
chrIV	1386639	YDR462W
chrIV	1388578	YDR463W
chrIV	1393200	YDR465C
chrIV	1393337	YDR464W
chrIV	1397903	YDR468C
chrIV	1398050	YDR466W
chrIV	1399534	YDR470C
chrIV	1399607	YDR469W
chrIV	1402681	YDR471W
chrIV	1404207	YDR473C
chrIV	1404297	YDR472W
chrIV	1407402	YDR475C
chrIV	1410251	YDR476C
chrIV	1414402	YDR477W
chrIV	1415126	YDR479C
chrIV	1415237	YDR478W
chrIV	1418440	YDR481C
chrIV	1418524	YDR480W
chrIV	1420331	YDR482C
chrIV	1422613	YDR483W
chrIV	1424563	YDR485C
chrIV	1424821	YDR484W
chrIV	1427303	YDR486C
chrIV	1428259	YDR487C
chrIV	1429021	YDR488C
chrIV	1431800	YDR490C
chrIV	1431976	YDR489W
chrIV	1435966	YDR492W
chrIV	1436708	YDR493W
chrIV	1437922	YDR495C
chrIV	1438092	YDR494W
chrIV	1441359	YDR496C
chrIV	1443629	YDR497C
chrIV	1445770	YDR498C
chrIV	1450108	YDR500C
chrIV	1450193	YDR499W
chrIV	1453017	YDR502C
chrIV	1453098	YDR501W
chrIV	1454883	YDR503C
chrIV	1456076	YDR504C
chrIV	1456401	YDR505C
chrIV	1462177	YDR507C
chrIV	1466239	YDR508C
chrIV	1469834	YDR510W
chrIV	1470397	YDR512C
chrIV	1470501	YDR511W
chrIV	1471452	YDR514C
chrIV	1471530	YDR513W
chrIV	1474847	YDR515W
chrIV	1474856	YDR516C
chrIV	1478460	YDR517W
chrIV	1480211	YDR518W
chrIV	1480950	YDR520C
chrIV	1481040	YDR519W
chrIV	1487271	YDR524C
chrIV	1489267	YDR524C-B
chrIV	1491062	YDR525W-A
chrIV	1492491	YDR527W
chrIV	1495975	YDR529C
chrIV	1495980	YDR528W
chrIV	1496638	YDR530C
chrIV	1499334	YDR532C
chrIV	1499408	YDR531W
chrIV	1501380	YDR533C
chrIV	1509860	YDR536W
chrIV	1511853	YDR538W
chrIV	1513665	YDR539W
chrIV	1516827	YDR540C
chrIV	1519461	YDR541C
chrIV	1531788	YDR545W
chrV	14745	YEL072W
chrV	17967	YEL071W
chrV	21219	YEL070W
chrV	27283	YEL066W
chrV	29620	YEL065W
chrV	29688	YEL064C
chrV	31414	YEL063C
chrV	36273	YEL061C
chrV	36401	YEL062W
chrV	39895	YEL060C
chrV	42364	YEL059C-A
chrV	44942	YEL057C
chrV	44999	YEL058W
chrV	48281	YEL055C
chrV	48483	YEL056W
chrV	52483	YEL054C
chrV	53818	YEL053C
chrV	58166	YEL052W
chrV	59254	YEL051W
chrV	59516	YEL050C
chrV	65305	YEL047C
chrV	67506	YEL046C
chrV	70308	YEL044W
chrV	73414	YEL043W
chrV	75473	YEL042W
chrV	77756	YEL041W
chrV	79602	YEL040W
chrV	81196	YEL038W
chrV	81245	YEL037C
chrV	82966	YEL036C
chrV	86367	YEL034W
chrV	86653	YEL033W
chrV	90004	YEL032W
chrV	94007	YEL031W
chrV	96590	YEL029C
chrV	96890	YEL030W
chrV	101504	YEL027W
chrV	102297	YEL025C
chrV	102394	YEL026W
chrV	108385	YEL023C
chrV	115876	YEL022W
chrV	117268	YEL021W
chrV	117590	YEL020W-A
chrV	118509	YEL020C
chrV	120281	YEL019C
chrV	122400	YEL018W
chrV	122658	YEL017C-A
chrV	124537	YEL016C
chrV	124761	YEL017W
chrV	128450	YEL015W
chrV	130735	YEL013W
chrV	132660	YEL012W
chrV	135283	YEL011W
chrV	138823	YEL009C
chrV	143925	YEL007W
chrV	145702	YEL006W
chrV	145825	YEL005C
chrV	148312	YEL004W
chrV	148649	YEL002C
chrV	148723	YEL003W
chrV	150206	YEL001C
chrV	155912	YER001W
chrV	157586	YER002W
chrV	157672	YER003C
chrV	160529	YER004W
chrV	162578	YER005W
chrV	164379	YER006W
chrV	166048	YER007C-A
chrV	166238	YER007W
chrV	167735	YER008C
chrV	172568	YER010C
chrV	172666	YER009W
chrV	176166	YER011W
chrV	178560	YER012W
chrV	182357	YER013W
chrV	184330	YER014W
chrV	187014	YER015W
chrV	189322	YER017C
chrV	189429	YER016W
chrV	191885	YER018C
chrV	194218	YER019C-A
chrV	194319	YER019W
chrV	196691	YER020W
chrV	198645	YER021W
chrV	200974	YER022W
chrV	202005	YER023W
chrV	205058	YER024W
chrV	207094	YER025W
chrV	207515	YER026C
chrV	208962	YER027C
chrV	210636	YER028C
chrV	212507	YER029C
chrV	213866	YER031C
chrV	214022	YER030W
chrV	217883	YER032W
chrV	222618	YER034W
chrV	223213	YER035W
chrV	223261	YER036C
chrV	228320	YER039C
chrV	232249	YER040W
chrV	234902	YER041W
chrV	235552	YER043C
chrV	235654	YER042W
chrV	237445	YER044C
chrV	239910	YER045C
chrV	243677	YER047C
chrV	243702	YER046W
chrV	246861	YER048C
chrV	251336	YER048W-A
chrV	253747	YER049W
chrV	253859	YER050C
chrV	256263	YER052C
chrV	256351	YER051W
chrV	258578	YER053C
chrV	261872	YER054C
chrV	264809	YER055C
chrV	266391	YER056C
chrV	269344	YER056C-A
chrV	270653	YER057C
chrV	272170	YER058W
chrV	273958	YER059W
chrV	276406	YER060W
chrV	278236	YER061C
chrV	279743	YER062C
chrV	282447	YER064C
chrV	282512	YER063W
chrV	285124	YER065C
chrV	290938	YER066W
chrV	292650	YER067W
chrV	294924	YER068W
chrV	298149	YER069W
chrV	301827	YER070W
chrV	301903	YER071C
chrV	303321	YER072W
chrV	305865	YER073W
chrV	307298	YER074W
chrV	308196	YER074W-A
chrV	308294	YER075C
chrV	312439	YER076C
chrV	314455	YER077C
chrV	316736	YER078C
chrV	319805	YER079W
chrV	321926	YER080W
chrV	324184	YER082C
chrV	324273	YER081W
chrV	326136	YER083C
chrV	327483	YER085C
chrV	330346	YER086W
chrV	332374	YER087W
chrV	332374	YER087C-B
chrV	333041	YER088C
chrV	335870	YER089C
chrV	339576	YER090W
chrV	339639	YER091C
chrV	343262	YER093C
chrV	343487	YER092W
chrV	347783	YER093C-A
chrV	348575	YER094C
chrV	351417	YER095W
chrV	353603	YER096W
chrV	357883	YER098W
chrV	358035	YER099C
chrV	360378	YER101C
chrV	360406	YER100W
chrV	363844	YER102W
chrV	366645	YER103W
chrV	367703	YER104W
chrV	367780	YER105C
chrV	373310	YER107C
chrV	373463	YER106W
chrV	374939	YER109C
chrV	378610	YER110C
chrV	382436	YER111C
chrV	387794	YER113C
chrV	387888	YER112W
chrV	390258	YER114C
chrV	394179	YER115C
chrV	397716	YER117W
chrV	397777	YER118C
chrV	399401	YER119C
chrV	401971	YER120W
chrV	402850	YER122C
chrV	406728	YER123W
chrV	407001	YER124C
chrV	412982	YER125W
chrV	413202	YER126C
chrV	415624	YER127W
chrV	416710	YER128W
chrV	420896	YER130C
chrV	420956	YER129W
chrV	424431	YER131W
chrV	425057	YER132C
chrV	434185	YER133W
chrV	437016	YER134C
chrV	441295	YER136W
chrV	441303	YER137C
chrV	449593	YER138W-A
chrV	450358	YER139C
chrV	453467	YER140W
chrV	455059	YER142C
chrV	455158	YER141W
chrV	457668	YER144C
chrV	457704	YER143W
chrV	460358	YER145C
chrV	462865	YER147C
chrV	462961	YER146W
chrV	466130	YER149C
chrV	466214	YER148W
chrV	468982	YER150W
chrV	469617	YER151C
chrV	472620	YER152C
chrV	476196	YER155C
chrV	476293	YER154W
chrV	483211	YER156C
chrV	487274	YER157W
chrV	488732	YER158C
chrV	491404	YER159C
chrV	499076	YER161C
chrV	500520	YER162C
chrV	503041	YER163C
chrV	509931	YER164W
chrV	512256	YER165W
chrV	517549	YER166W
chrV	520928	YER167W
chrV	520972	YER168C
chrV	525962	YER169W
chrV	526995	YER170W
chrV	529406	YER172C
chrV	529547	YER171W
chrV	538344	YER174C
chrV	538452	YER173W
chrV	539242	YER175C
chrV	545169	YER176W
chrV	546584	YER177W
chrV	548213	YER178W
chrV	549663	YER180C
chrV	553242	YER183C
chrV	553357	YER182W
chrV	555951	YER184C
chrV	560429	YER185W
chrV	561499	YER186C
chrV	566859	YER187W
chrV	576862	YER190W
chrVI	3057	YFL064C
chrVI	7640	YFL062W
chrVI	10185	YFL060C
chrVI	12401	YFL059W
chrVI	14075	YFL058W
chrVI	14192	YFL057C
chrVI	20785	YFL054C
chrVI	25375	YFL053W
chrVI	32987	YFL050C
chrVI	38732	YFL048C
chrVI	38821	YFL049W
chrVI	42629	YFL047W
chrVI	43497	YFL045C
chrVI	43601	YFL046W
chrVI	44380	YFL044C
chrVI	45659	YFL042C
chrVI	48986	YFL041W-A
chrVI	51181	YFL041W
chrVI	53162	YFL039C
chrVI	55248	YFL038C
chrVI	57934	YFL037W
chrVI	62926	YFL034C-B
chrVI	62937	YFL036W
chrVI	64157	YFL034C-A
chrVI	68815	YFL034W
chrVI	68893	YFL033C
chrVI	76532	YFL031W
chrVI	77991	YFL029C
chrVI	78116	YFL030W
chrVI	79265	YFL028C
chrVI	80345	YFL027C
chrVI	84130	YFL025C
chrVI	84140	YFL026W
chrVI	87579	YFL024C
chrVI	93397	YFL022C
chrVI	93472	YFL023W
chrVI	97505	YFL021W
chrVI	101571	YFL018C
chrVI	103907	YFL017C
chrVI	103991	YFL017W-A
chrVI	104598	YFL016C
chrVI	107683	YFL013C
chrVI	107770	YFL014W
chrVI	114946	YFL010C
chrVI	118569	YFL009W
chrVI	123209	YFL008W
chrVI	129987	YFL007W
chrVI	131198	YFL005W
chrVI	134474	YFL003C
chrVI	134529	YFL004W
chrVI	144983	YFL002C
chrVI	148491	YFL001W
chrVI	149795	YFR001W
chrVI	152628	YFR002W
chrVI	152637	YFR003C
chrVI	154308	YFR005C
chrVI	154407	YFR004W
chrVI	157826	YFR006W
chrVI	160457	YFR007W
chrVI	164813	YFR009W
chrVI	166603	YFR011C
chrVI	166657	YFR010W
chrVI	169535	YFR012W-A
chrVI	172315	YFR014C
chrVI	172427	YFR013W
chrVI	174088	YFR015C
chrVI	176991	YFR016C
chrVI	182969	YFR018C
chrVI	191388	YFR019W
chrVI	196424	YFR021W
chrVI	199130	YFR022W
chrVI	201810	YFR024C-A
chrVI	203656	YFR025C
chrVI	205669	YFR026C
chrVI	208358	YFR028C
chrVI	208428	YFR027W
chrVI	216487	YFR030W
chrVI	216543	YFR031C
chrVI	220348	YFR031C-A
chrVI	221995	YFR032C
chrVI	223162	YFR032C-A
chrVI	223441	YFR032C-B
chrVI	224182	YFR033C
chrVI	227395	YFR037C
chrVI	227478	YFR036W
chrVI	231949	YFR039C
chrVI	232029	YFR038W
chrVI	237237	YFR041C
chrVI	237347	YFR040W
chrVI	239059	YFR043C
chrVI	239152	YFR042W
chrVI	239944	YFR044C
chrVI	243001	YFR046C
chrVI	243075	YFR045W
chrVI	244202	YFR047C
chrVI	248185	YFR048W
chrVI	248928	YFR050C
chrVI	249009	YFR049W
chrVI	250090	YFR051C
chrVI	253369	YFR052W
chrVI	253466	YFR053C
chrVII	4079	YGL263W
chrVII	11986	YGL258W
chrVII	12384	YGL257C
chrVII	16484	YGL256W
chrVII	22207	YGL255W
chrVII	25587	YGL253W
chrVII	25627	YGL252C
chrVII	27559	YGL251C
chrVII	32828	YGL250W
chrVII	35441	YGL249W
chrVII	36831	YGL248W
chrVII	37497	YGL246C
chrVII	37623	YGL247W
chrVII	41209	YGL245W
chrVII	43266	YGL244W
chrVII	44527	YGL242C
chrVII	44555	YGL243W
chrVII	48561	YGL241W
chrVII	52478	YGL238W
chrVII	52537	YGL237C
chrVII	53764	YGL236C
chrVII	58982	YGL234W
chrVII	61919	YGL233W
chrVII	62979	YGL231C
chrVII	63074	YGL232W
chrVII	63563	YGL230C
chrVII	64364	YGL229C
chrVII	69488	YGL228W
chrVII	72602	YGL226C-A
chrVII	72758	YGL227W
chrVII	73771	YGL226W
chrVII	77924	YGL224C
chrVII	78032	YGL225W
chrVII	78940	YGL223C
chrVII	80509	YGL222C
chrVII	81349	YGL221C
chrVII	82794	YGL219C
chrVII	82918	YGL220W
chrVII	87352	YGL216W
chrVII	89645	YGL215W
chrVII	89991	YGL213C
chrVII	93721	YGL211W
chrVII	94581	YGL210W
chrVII	97121	YGL209W
chrVII	98723	YGL208W
chrVII	102212	YGL207W
chrVII	102269	YGL206C
chrVII	112406	YGL203C
chrVII	117654	YGL202W
chrVII	117670	YGL201C
chrVII	122587	YGL200C
chrVII	124347	YGL198W
chrVII	129448	YGL197W
chrVII	131265	YGL196W
chrVII	139558	YGL194C-A
chrVII	139644	YGL195W
chrVII	140235	YGL194C
chrVII	141863	YGL193C
chrVII	145441	YGL191W
chrVII	145599	YGL190C
chrVII	148160	YGL189C
chrVII	149419	YGL187C
chrVII	150995	YGL186C
chrVII	153087	YGL185C
chrVII	154504	YGL184C
chrVII	159197	YGL181W
chrVII	163307	YGL179C
chrVII	170648	YGL178W
chrVII	171308	YGL176C
chrVII	175429	YGL173C
chrVII	175564	YGL174W
chrVII	182211	YGL172W
chrVII	184182	YGL171W
chrVII	187410	YGL167C
chrVII	187543	YGL169W
chrVII	191892	YGL164C
chrVII	191958	YGL166W
chrVII	193575	YGL163C
chrVII	199059	YGL161C
chrVII	199173	YGL162W
chrVII	202407	YGL160W
chrVII	203986	YGL159W
chrVII	208666	YGL158W
chrVII	210139	YGL157W
chrVII	213835	YGL156W
chrVII	215210	YGL154C
chrVII	215439	YGL155W
chrVII	217345	YGL153W
chrVII	220899	YGL150C
chrVII	221047	YGL151W
chrVII	227617	YGL148W
chrVII	227646	YGL147C
chrVII	228600	YGL146C
chrVII	232368	YGL144C
chrVII	232479	YGL145W
chrVII	234646	YGL143C
chrVII	236211	YGL142C
chrVII	241115	YGL140C
chrVII	241181	YGL141W
chrVII	248454	YGL139W
chrVII	252884	YGL136C
chrVII	253037	YGL137W
chrVII	255387	YGL135W
chrVII	257060	YGL134W
chrVII	261430	YGL131C
chrVII	261572	YGL133W
chrVII	267578	YGL129C
chrVII	267614	YGL130W
chrVII	269128	YGL128C
chrVII	270245	YGL127C
chrVII	272393	YGL126W
chrVII	274656	YGL124C
chrVII	278469	YGL123W
chrVII	278806	YGL122C
chrVII	280559	YGL121C
chrVII	281541	YGL120C
chrVII	286015	YGL119W
chrVII	289395	YGL117W
chrVII	291739	YGL116W
chrVII	293082	YGL115W
chrVII	295677	YGL114W
chrVII	298033	YGL112C
chrVII	298184	YGL113W
chrVII	301368	YGL110C
chrVII	301513	YGL111W
chrVII	303459	YGL108C
chrVII	304241	YGL107C
chrVII	307259	YGL106W
chrVII	308581	YGL104C
chrVII	308667	YGL105W
chrVII	312013	YGL103W
chrVII	313095	YGL101W
chrVII	314371	YGL100W
chrVII	316595	YGL099W
chrVII	318345	YGL098W
chrVII	323346	YGL097W
chrVII	326269	YGL096W
chrVII	328840	YGL095C
chrVII	330957	YGL094C
chrVII	337690	YGL093W
chrVII	341897	YGL092W
chrVII	341964	YGL091C
chrVII	346291	YGL087C
chrVII	349433	YGL086W
chrVII	350528	YGL084C
chrVII	350587	YGL085W
chrVII	355614	YGL083W
chrVII	357163	YGL082W
chrVII	358651	YGL081W
chrVII	359306	YGL080W
chrVII	360099	YGL078C
chrVII	360177	YGL079W
chrVII	362146	YGL077C
chrVII	364226	YGL076C
chrVII	366571	YGL075C
chrVII	371311	YGL073W
chrVII	374204	YGL070C
chrVII	374221	YGL071W
chrVII	375781	YGL068W
chrVII	377293	YGL067W
chrVII	379706	YGL065C
chrVII	379926	YGL066W
chrVII	381458	YGL064C
chrVII	385114	YGL063W
chrVII	388792	YGL062W
chrVII	388869	YGL061C
chrVII	392259	YGL060W
chrVII	393847	YGL059W
chrVII	394724	YGL058W
chrVII	394813	YGL057C
chrVII	395931	YGL056C
chrVII	400384	YGL055W
chrVII	400572	YGL054C
chrVII	403622	YGL053W
chrVII	404476	YGL051W
chrVII	406697	YGL049C
chrVII	406794	YGL050W
chrVII	409973	YGL048C
chrVII	412191	YGL047W
chrVII	415930	YGL045W
chrVII	416009	YGL044C
chrVII	418634	YGL043W
chrVII	419301	YGL040C
chrVII	419424	YGL041W-A
chrVII	425051	YGL038C
chrVII	425120	YGL039W
chrVII	427156	YGL037C
chrVII	431417	YGL035C
chrVII	431422	YGL036W
chrVII	436470	YGL032C
chrVII	436545	YGL033W
chrVII	437403	YGL031C
chrVII	439737	YGL030W
chrVII	440610	YGL029W
chrVII	440982	YGL028C
chrVII	443550	YGL027C
chrVII	446328	YGL026C
chrVII	448679	YGL025C
chrVII	450081	YGL023C
chrVII	454732	YGL022W
chrVII	457084	YGL020C
chrVII	457097	YGL021W
chrVII	458991	YGL018C
chrVII	459111	YGL019W
chrVII	461516	YGL017W
chrVII	465189	YGL016W
chrVII	468893	YGL014W
chrVII	469053	YGL013C
chrVII	474362	YGL011C
chrVII	474382	YGL012W
chrVII	476152	YGL009C
chrVII	476267	YGL010W
chrVII	479812	YGL008C
chrVII	482831	YGL007C-A
chrVII	489485	YGL005C
chrVII	489558	YGL006W
chrVII	490659	YGL004C
chrVII	492327	YGL003C
chrVII	495330	YGL001C
chrVII	495358	YGL002W
chrVII	497056	YGR001C
chrVII	498193	YGR002C
chrVII	502614	YGR003W
chrVII	504550	YGR005C
chrVII	504568	YGR004W
chrVII	507950	YGR008C
chrVII	508079	YGR007W
chrVII	508908	YGR009C
chrVII	512992	YGR010W
chrVII	514429	YGR012W
chrVII	516642	YGR013W
chrVII	520802	YGR015C
chrVII	520990	YGR014W
chrVII	523021	YGR016W
chrVII	524797	YGR017W
chrVII	526736	YGR019W
chrVII	526840	YGR020C
chrVII	528588	YGR021W
chrVII	531153	YGR023W
chrVII	531795	YGR024C
chrVII	534006	YGR026W
chrVII	534069	YGR027C
chrVII	543438	YGR028W
chrVII	544302	YGR029W
chrVII	545606	YGR030C
chrVII	547763	YGR031W
chrVII	553993	YGR033C
chrVII	554065	YGR032W
chrVII	556802	YGR034W
chrVII	556913	YGR035C
chrVII	559550	YGR037C
chrVII	561511	YGR038W
chrVII	576620	YGR040W
chrVII	579221	YGR041W
chrVII	580294	YGR043C
chrVII	580389	YGR042W
chrVII	582725	YGR044C
chrVII	586284	YGR047C
chrVII	586393	YGR046W
chrVII	590991	YGR048W
chrVII	592146	YGR049W
chrVII	594893	YGR052W
chrVII	594929	YGR053C
chrVII	598833	YGR054W
chrVII	601263	YGR055W
chrVII	604439	YGR057C
chrVII	604526	YGR056W
chrVII	607439	YGR058W
chrVII	609467	YGR059W
chrVII	611682	YGR060W
chrVII	611817	YGR061C
chrVII	616251	YGR062C
chrVII	617395	YGR063C
chrVII	617978	YGR065C
chrVII	622263	YGR067C
chrVII	631289	YGR070W
chrVII	631312	YGR071C
chrVII	635590	YGR072W
chrVII	636452	YGR074W
chrVII	636975	YGR076C
chrVII	637670	YGR077C
chrVII	639697	YGR078C
chrVII	641923	YGR079W
chrVII	643036	YGR081C
chrVII	643138	YGR080W
chrVII	644743	YGR082W
chrVII	644744	YGR083C
chrVII	647054	YGR084C
chrVII	648296	YGR085C
chrVII	649254	YGR086C
chrVII	656403	YGR088W
chrVII	659896	YGR089W
chrVII	666167	YGR090W
chrVII	667874	YGR091W
chrVII	670064	YGR092W
chrVII	671992	YGR093W
chrVII	675581	YGR094W
chrVII	675626	YGR095C
chrVII	677636	YGR096W
chrVII	682284	YGR097W
chrVII	682398	YGR098C
chrVII	690028	YGR099W
chrVII	693226	YGR100W
chrVII	694410	YGR102C
chrVII	694523	YGR101W
chrVII	697368	YGR104C
chrVII	697374	YGR103W
chrVII	698885	YGR106C
chrVII	699004	YGR105W
chrVII	705215	YGR108W
chrVII	705247	YGR109C
chrVII	717155	YGR111W
chrVII	718689	YGR112W
chrVII	720242	YGR113W
chrVII	724822	YGR117C
chrVII	724862	YGR116W
chrVII	727903	YGR118W
chrVII	727965	YGR119C
chrVII	729867	YGR120C
chrVII	731309	YGR121C
chrVII	735514	YGR122W
chrVII	736514	YGR123C
chrVII	741774	YGR124W
chrVII	745595	YGR125W
chrVII	747868	YGR128C
chrVII	747951	YGR127W
chrVII	751219	YGR130C
chrVII	751300	YGR129W
chrVII	755345	YGR132C
chrVII	755350	YGR131W
chrVII	757630	YGR133W
chrVII	761278	YGR134W
chrVII	762247	YGR135W
chrVII	763402	YGR136W
chrVII	763676	YGR138C
chrVII	770376	YGR140W
chrVII	772068	YGR141W
chrVII	773781	YGR142W
chrVII	777881	YGR143W
chrVII	781461	YGR144W
chrVII	783929	YGR145W
chrVII	784018	YGR146C
chrVII	785113	YGR146C-A
chrVII	785936	YGR147C
chrVII	787227	YGR148C
chrVII	790360	YGR150C
chrVII	790516	YGR149W
chrVII	794620	YGR152C
chrVII	796613	YGR154C
chrVII	796937	YGR153W
chrVII	800204	YGR155W
chrVII	801876	YGR156W
chrVII	805093	YGR158C
chrVII	805157	YGR157W
chrVII	806262	YGR159C
chrVII	808362	YGR161C
chrVII	810753	YGR161W-C
chrVII	827028	YGR162W
chrVII	828638	YGR163W
chrVII	830314	YGR165W
chrVII	832255	YGR166W
chrVII	833254	YGR168C
chrVII	833340	YGR167W
chrVII	834597	YGR169C
chrVII	836024	YGR169C-A
chrVII	840710	YGR171C
chrVII	840833	YGR170W
chrVII	842722	YGR172C
chrVII	844996	YGR173W
chrVII	845765	YGR174C
chrVII	846754	YGR175C
chrVII	848613	YGR177C
chrVII	850928	YGR178C
chrVII	853601	YGR179C
chrVII	855141	YGR180C
chrVII	858705	YGR183C
chrVII	858785	YGR181W
chrVII	859819	YGR184C
chrVII	866242	YGR185C
chrVII	870113	YGR187C
chrVII	870116	YGR186W
chrVII	871900	YGR188C
chrVII	876550	YGR189C
chrVII	882453	YGR191W
chrVII	882706	YGR192C
chrVII	884389	YGR193C
chrVII	885920	YGR194C
chrVII	889626	YGR196C
chrVII	889699	YGR195W
chrVII	892431	YGR197C
chrVII	897242	YGR198W
chrVII	899861	YGR199W
chrVII	899878	YGR200C
chrVII	902452	YGR201C
chrVII	903346	YGR202C
chrVII	905872	YGR203W
chrVII	908803	YGR204C-A
chrVII	908824	YGR204W
chrVII	910212	YGR205W
chrVII	910733	YGR207C
chrVII	910824	YGR206W
chrVII	912830	YGR209C
chrVII	912851	YGR208W
chrVII	913407	YGR210C
chrVII	916900	YGR211W
chrVII	918625	YGR212W
